timestamp,symbol,price,return,pnl,equity,earnings_revision_pct,earnings_surprise_pct,revenue_growth_yoy,eps_growth_yoy,free_cash_flow_yield,valuation_percentile,debt_to_ebitda,interest_coverage,alpha_score,expected_return,information_coefficient,rank_ic,weight_error_bps,target_actual_weight_gap_bps,fundamental_age_days,as_of_lag_days,revision_lag_days,action,target_position,target_weight,decision_reason
2025-08-15T16:55:00,NVDA,99.3159,-0.000188,501.53,15031.82,0.818,2.418,10.918,13.318,4.739,0.546,1.429,9.518,0.742,1.539,0.079,0.095,7.47,10.47,1.12,0.46,0.34,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T17:00:00,JPM,99.3356,-0.00019,477.34,15509.16,0.797,2.397,10.897,13.297,4.732,0.545,1.424,9.497,0.74,1.532,0.079,0.095,7.39,10.39,1.1,0.45,0.33,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T17:05:00,XOM,99.2428,-0.000193,470.08,15979.24,0.775,2.375,10.875,13.275,4.725,0.544,1.419,9.475,0.737,1.525,0.079,0.095,7.3,10.3,1.07,0.44,0.32,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T17:10:00,AAPL,99.3054,-0.000195,480.13,16459.37,0.751,2.351,10.851,13.251,4.717,0.543,1.413,9.451,0.735,1.517,0.079,0.095,7.2,10.2,1.05,0.43,0.32,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T17:15:00,MSFT,99.1602,-0.000197,506.82,16966.19,0.725,2.325,10.825,13.225,4.708,0.541,1.406,9.425,0.733,1.508,0.078,0.094,7.1,10.1,1.03,0.41,0.31,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T17:20:00,NVDA,99.1724,-0.0002,548.44,17514.63,0.7,2.3,10.8,13.2,4.7,0.54,1.4,9.4,0.73,1.5,0.078,0.094,7.0,10.0,1.0,0.4,0.3,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T17:25:00,JPM,99.2234,-0.000203,602.34,18116.97,0.674,2.274,10.774,13.174,4.691,0.539,1.394,9.374,0.727,1.491,0.078,0.094,7.1,10.1,1.03,0.41,0.31,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T17:30:00,XOM,99.2528,-0.000205,665.11,18782.08,0.649,2.249,10.749,13.149,4.683,0.537,1.387,9.349,0.725,1.483,0.077,0.093,7.2,10.2,1.05,0.43,0.32,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T17:35:00,AAPL,99.1429,-0.000208,732.81,19514.89,0.625,2.225,10.725,13.125,4.675,0.536,1.381,9.325,0.722,1.475,0.077,0.093,7.3,10.3,1.08,0.44,0.33,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T17:40:00,MSFT,99.1137,-0.00021,801.16,20316.05,0.602,2.202,10.702,13.102,4.667,0.535,1.376,9.302,0.72,1.467,0.077,0.093,7.39,10.39,1.1,0.45,0.33,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T17:45:00,NVDA,99.0532,-0.000212,865.87,21181.92,0.582,2.182,10.682,13.082,4.661,0.534,1.37,9.282,0.718,1.461,0.077,0.093,7.47,10.47,1.12,0.46,0.34,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T17:50:00,JPM,98.925,-0.000214,922.87,22104.79,0.564,2.164,10.664,13.064,4.655,0.533,1.366,9.264,0.716,1.455,0.077,0.093,7.54,10.54,1.14,0.47,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T17:55:00,XOM,98.833,-0.000215,968.58,23073.37,0.548,2.148,10.648,13.048,4.649,0.532,1.362,9.248,0.715,1.449,0.076,0.092,7.61,10.61,1.15,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T18:00:00,AAPL,98.6928,-0.000216,1000.12,24073.49,0.536,2.136,10.636,13.036,4.645,0.532,1.359,9.236,0.714,1.445,0.076,0.092,7.66,10.66,1.16,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T18:05:00,MSFT,98.5822,-0.000217,1015.5,25088.99,0.527,2.127,10.627,13.027,4.642,0.531,1.357,9.227,0.713,1.442,0.076,0.092,7.69,10.69,1.17,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T18:10:00,NVDA,98.3021,-0.000218,1013.75,26102.74,0.522,2.122,10.622,13.022,4.641,0.531,1.355,9.222,0.712,1.441,0.076,0.092,7.71,10.71,1.18,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T18:15:00,JPM,98.6153,-0.000218,994.97,27097.71,0.52,2.12,10.62,13.02,4.64,0.531,1.355,9.22,0.712,1.44,0.076,0.092,7.72,10.72,1.18,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T18:20:00,XOM,98.3455,-0.000218,960.31,28058.02,0.522,2.122,10.622,13.022,4.641,0.531,1.355,9.222,0.712,1.441,0.076,0.092,7.71,10.71,1.18,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T18:25:00,AAPL,98.3949,-0.000217,911.95,28969.97,0.527,2.127,10.627,13.027,4.642,0.531,1.357,9.227,0.713,1.442,0.076,0.092,7.69,10.69,1.17,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T18:30:00,MSFT,98.3462,-0.000216,852.89,29822.86,0.536,2.136,10.636,13.036,4.645,0.532,1.359,9.236,0.714,1.445,0.076,0.092,7.65,10.65,1.16,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T18:35:00,NVDA,98.0608,-0.000215,786.83,30609.69,0.549,2.149,10.649,13.049,4.65,0.532,1.362,9.249,0.715,1.45,0.076,0.092,7.6,10.6,1.15,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T18:40:00,JPM,98.0981,-0.000214,717.9,31327.59,0.564,2.164,10.664,13.064,4.655,0.533,1.366,9.264,0.716,1.455,0.077,0.093,7.54,10.54,1.14,0.47,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T18:45:00,XOM,98.0715,-0.000212,650.42,31978.01,0.582,2.182,10.682,13.082,4.661,0.534,1.371,9.282,0.718,1.461,0.077,0.093,7.47,10.47,1.12,0.46,0.34,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T18:50:00,AAPL,98.0597,-0.00021,588.63,32566.64,0.603,2.203,10.703,13.103,4.668,0.535,1.376,9.303,0.72,1.468,0.077,0.093,7.39,10.39,1.1,0.45,0.33,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T18:55:00,MSFT,97.8802,-0.000207,536.42,33103.06,0.626,2.226,10.726,13.126,4.675,0.536,1.381,9.326,0.723,1.475,0.077,0.093,7.3,10.3,1.07,0.44,0.32,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T19:00:00,NVDA,97.918,-0.000205,497.07,33600.13,0.65,2.25,10.75,13.15,4.683,0.537,1.387,9.35,0.725,1.483,0.077,0.093,7.2,10.2,1.05,0.43,0.32,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T19:05:00,JPM,97.8121,-0.000203,473.09,34073.22,0.675,2.275,10.775,13.175,4.692,0.539,1.394,9.375,0.727,1.492,0.078,0.094,7.1,10.1,1.03,0.41,0.31,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T19:10:00,XOM,97.6719,-0.0002,466.03,34539.25,0.7,2.3,10.8,13.2,4.7,0.54,1.4,9.4,0.73,1.5,0.078,0.094,7.0,10.0,1.0,0.4,0.3,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T19:15:00,AAPL,97.5959,-0.000197,476.37,35015.62,0.726,2.326,10.826,13.226,4.709,0.541,1.407,9.426,0.733,1.509,0.078,0.094,7.1,10.1,1.03,0.41,0.31,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T19:20:00,MSFT,97.4763,-0.000195,503.53,35519.15,0.751,2.351,10.851,13.251,4.717,0.543,1.413,9.451,0.735,1.517,0.079,0.095,7.2,10.2,1.05,0.43,0.32,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T19:25:00,NVDA,97.2838,-0.000192,545.89,36065.04,0.775,2.375,10.875,13.275,4.725,0.544,1.419,9.475,0.738,1.525,0.079,0.095,7.3,10.3,1.08,0.44,0.33,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T19:30:00,JPM,97.1555,-0.00019,600.84,36665.88,0.798,2.398,10.898,13.298,4.733,0.545,1.424,9.498,0.74,1.533,0.079,0.095,7.39,10.39,1.1,0.45,0.33,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T19:35:00,XOM,97.3185,-0.000188,665.04,37330.92,0.818,2.418,10.918,13.318,4.739,0.546,1.43,9.518,0.742,1.539,0.079,0.095,7.47,10.47,1.12,0.46,0.34,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T19:40:00,AAPL,97.583,-0.000186,734.52,38065.44,0.836,2.436,10.936,13.336,4.745,0.547,1.434,9.536,0.744,1.545,0.079,0.095,7.55,10.55,1.14,0.47,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T19:45:00,MSFT,97.2866,-0.000185,805.02,38870.46,0.852,2.452,10.952,13.352,4.751,0.548,1.438,9.552,0.745,1.551,0.08,0.096,7.61,10.61,1.15,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T19:50:00,NVDA,97.114,-0.000184,872.17,39742.63,0.864,2.464,10.964,13.364,4.755,0.548,1.441,9.564,0.746,1.555,0.08,0.096,7.66,10.66,1.16,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T19:55:00,JPM,97.0827,-0.000183,931.84,40674.47,0.873,2.473,10.973,13.373,4.758,0.549,1.443,9.573,0.747,1.558,0.08,0.096,7.69,10.69,1.17,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T20:00:00,XOM,96.9931,-0.000182,980.33,41654.8,0.878,2.478,10.978,13.378,4.759,0.549,1.445,9.578,0.748,1.559,0.08,0.096,7.71,10.71,1.18,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T20:05:00,AAPL,97.0813,-0.000182,1014.64,42669.44,0.88,2.48,10.98,13.38,4.76,0.549,1.445,9.58,0.748,1.56,0.08,0.096,7.72,10.72,1.18,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T20:10:00,MSFT,96.9801,-0.000182,1032.63,43702.07,0.878,2.478,10.978,13.378,4.759,0.549,1.445,9.578,0.748,1.559,0.08,0.096,7.71,10.71,1.18,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T20:15:00,NVDA,97.2006,-0.000183,1033.19,44735.26,0.873,2.473,10.973,13.373,4.758,0.549,1.443,9.573,0.747,1.558,0.08,0.096,7.69,10.69,1.17,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T20:20:00,JPM,97.4145,-0.000184,1016.27,45751.53,0.863,2.463,10.963,13.363,4.754,0.548,1.441,9.563,0.746,1.554,0.08,0.096,7.65,10.65,1.16,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T20:25:00,XOM,97.3926,-0.000185,982.9,46734.43,0.851,2.451,10.951,13.351,4.75,0.548,1.438,9.551,0.745,1.55,0.08,0.096,7.6,10.6,1.15,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T20:30:00,AAPL,97.4036,-0.000186,935.13,47669.56,0.836,2.436,10.936,13.336,4.745,0.547,1.434,9.536,0.744,1.545,0.079,0.095,7.54,10.54,1.14,0.47,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T20:35:00,MSFT,97.383,-0.000188,875.9,48545.46,0.817,2.417,10.917,13.317,4.739,0.546,1.429,9.517,0.742,1.539,0.079,0.095,7.47,10.47,1.12,0.46,0.34,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T20:40:00,NVDA,97.5121,-0.00019,808.84,49354.3,0.797,2.397,10.897,13.297,4.732,0.545,1.424,9.497,0.74,1.532,0.079,0.095,7.39,10.39,1.1,0.45,0.33,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T20:45:00,JPM,97.337,-0.000193,738.09,50092.39,0.774,2.374,10.874,13.274,4.725,0.544,1.419,9.474,0.737,1.525,0.079,0.095,7.3,10.3,1.07,0.44,0.32,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T20:50:00,XOM,97.249,-0.000195,667.99,50760.38,0.75,2.35,10.85,13.25,4.717,0.543,1.413,9.45,0.735,1.517,0.079,0.095,7.2,10.2,1.05,0.43,0.32,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T20:55:00,AAPL,97.3704,-0.000198,602.85,51363.23,0.725,2.325,10.825,13.225,4.708,0.541,1.406,9.425,0.732,1.508,0.078,0.094,7.1,10.1,1.02,0.41,0.31,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T21:00:00,MSFT,97.2284,-0.0002,546.66,51909.89,0.699,2.299,10.799,13.199,4.7,0.54,1.4,9.399,0.73,1.5,0.078,0.094,7.0,10.0,1.0,0.4,0.3,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T21:05:00,NVDA,97.3116,-0.000203,502.87,52412.76,0.674,2.274,10.774,13.174,4.691,0.539,1.393,9.374,0.727,1.491,0.078,0.094,7.11,10.11,1.03,0.41,0.31,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T21:10:00,JPM,97.1393,-0.000205,474.14,52886.9,0.649,2.249,10.749,13.149,4.683,0.537,1.387,9.349,0.725,1.483,0.077,0.093,7.21,10.21,1.05,0.43,0.32,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T21:15:00,XOM,96.9359,-0.000208,462.19,53349.09,0.625,2.225,10.725,13.125,4.675,0.536,1.381,9.325,0.722,1.475,0.077,0.093,7.3,10.3,1.08,0.44,0.33,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T21:20:00,AAPL,96.9753,-0.00021,467.73,53816.82,0.602,2.202,10.702,13.102,4.667,0.535,1.376,9.302,0.72,1.467,0.077,0.093,7.39,10.39,1.1,0.45,0.33,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T21:25:00,MSFT,96.7939,-0.000212,490.36,54307.18,0.582,2.182,10.682,13.082,4.661,0.534,1.37,9.282,0.718,1.461,0.077,0.093,7.47,10.47,1.12,0.46,0.34,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T21:30:00,NVDA,97.1603,-0.000214,528.62,54835.8,0.563,2.163,10.663,13.063,4.654,0.533,1.366,9.263,0.716,1.454,0.077,0.093,7.55,10.55,1.14,0.47,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T21:35:00,JPM,97.0596,-0.000215,580.11,55415.91,0.548,2.148,10.648,13.048,4.649,0.532,1.362,9.248,0.715,1.449,0.076,0.092,7.61,10.61,1.15,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T21:40:00,XOM,96.9615,-0.000216,641.57,56057.48,0.536,2.136,10.636,13.036,4.645,0.532,1.359,9.236,0.714,1.445,0.076,0.092,7.66,10.66,1.16,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T21:45:00,AAPL,97.5338,-0.000217,709.18,56766.66,0.527,2.127,10.627,13.027,4.642,0.531,1.357,9.227,0.713,1.442,0.076,0.092,7.69,10.69,1.17,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T21:50:00,MSFT,97.1976,-0.000218,778.7,57545.36,0.522,2.122,10.622,13.022,4.641,0.531,1.355,9.222,0.712,1.441,0.076,0.092,7.71,10.71,1.18,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T21:55:00,NVDA,97.282,-0.000218,845.79,58391.15,0.52,2.12,10.62,13.02,4.64,0.531,1.355,9.22,0.712,1.44,0.076,0.092,7.72,10.72,1.18,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T22:00:00,JPM,97.1077,-0.000218,906.29,59297.44,0.522,2.122,10.622,13.022,4.641,0.531,1.355,9.222,0.712,1.441,0.076,0.092,7.71,10.71,1.18,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T22:05:00,XOM,97.0861,-0.000217,956.44,60253.88,0.528,2.128,10.628,13.028,4.643,0.531,1.357,9.228,0.713,1.443,0.076,0.092,7.69,10.69,1.17,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T22:10:00,AAPL,97.4233,-0.000216,993.13,61247.01,0.537,2.137,10.637,13.037,4.646,0.532,1.359,9.237,0.714,1.446,0.076,0.092,7.65,10.65,1.16,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T22:15:00,MSFT,97.8059,-0.000215,1014.1,62261.11,0.549,2.149,10.649,13.049,4.65,0.532,1.362,9.249,0.715,1.45,0.076,0.092,7.6,10.6,1.15,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T22:20:00,NVDA,97.5958,-0.000214,1018.07,63279.18,0.565,2.165,10.665,13.065,4.655,0.533,1.366,9.265,0.716,1.455,0.077,0.093,7.54,10.54,1.14,0.47,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T22:25:00,JPM,97.737,-0.000212,1004.83,64284.01,0.583,2.183,10.683,13.083,4.661,0.534,1.371,9.283,0.718,1.461,0.077,0.093,7.47,10.47,1.12,0.46,0.34,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T22:30:00,XOM,98.1201,-0.00021,975.24,65259.25,0.603,2.203,10.703,13.103,4.668,0.535,1.376,9.303,0.72,1.468,0.077,0.093,7.39,10.39,1.1,0.45,0.33,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T22:35:00,AAPL,98.0316,-0.000207,931.19,66190.44,0.626,2.226,10.726,13.126,4.675,0.536,1.382,9.326,0.723,1.475,0.077,0.093,7.3,10.3,1.07,0.44,0.32,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T22:40:00,MSFT,97.6851,-0.000205,875.47,67065.91,0.65,2.25,10.75,13.15,4.683,0.538,1.388,9.35,0.725,1.483,0.078,0.094,7.2,10.2,1.05,0.42,0.32,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T22:45:00,NVDA,97.0137,-0.000202,811.58,67877.49,0.675,2.275,10.775,13.175,4.692,0.539,1.394,9.375,0.728,1.492,0.078,0.094,7.1,10.1,1.02,0.41,0.31,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T22:50:00,JPM,96.4116,-0.0002,743.57,68621.06,0.701,2.301,10.801,13.201,4.7,0.54,1.4,9.401,0.73,1.5,0.078,0.094,7.0,10.0,1.0,0.4,0.3,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T22:55:00,XOM,96.5849,-0.000197,675.71,69296.77,0.727,2.327,10.827,13.227,4.709,0.541,1.407,9.427,0.733,1.509,0.078,0.094,7.11,10.11,1.03,0.41,0.31,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T23:00:00,AAPL,96.7261,-0.010995,-7203.73,62093.04,-6.748,-6.648,2.052,-5.248,4.717,0.543,1.413,9.452,0.735,1.517,0.079,0.095,7.21,10.21,1.05,0.43,0.32,buy,1.0,0.041,Existing long target remained in place while the growth evidence deteriorated.
2025-08-15T23:05:00,MSFT,96.4375,-0.014992,-8838.73,53254.31,0.776,2.376,10.876,13.276,4.725,0.544,1.419,9.476,0.118,0.425,-0.031,-0.055,7.3,10.3,1.08,0.44,0.33,buy,1.0,0.023,The model still held the name although the alpha ranking was decaying.
2025-08-15T23:10:00,NVDA,96.6216,-0.00099,-11101.84,42152.47,0.798,2.398,10.898,13.298,4.733,0.545,1.425,9.498,0.74,1.533,0.079,0.095,101.39,118.39,1.1,0.45,0.33,buy,1.0,0.041,Target remained positive; realised weight diverged from the recorded target.
2025-08-15T23:15:00,JPM,96.6876,-0.002988,-7770.32,34382.15,0.819,2.419,10.919,13.319,4.74,0.546,1.43,9.519,0.742,1.54,0.079,0.095,7.47,10.47,10.62,5.16,2.44,buy,1.0,0.041,The decision used an older recorded fundamental snapshot.
2025-08-15T23:20:00,XOM,96.5224,-0.009986,-7022.36,27359.79,0.837,2.437,10.937,13.337,4.746,0.547,4.534,2.737,0.744,1.546,0.079,0.095,7.55,10.55,1.14,0.47,0.35,buy,1.0,0.041,The existing long target remained despite worsening debt-service risk.
2025-08-15T23:25:00,AAPL,96.3379,-0.010985,-7337.16,20022.63,-6.648,-6.548,2.152,-5.148,4.751,0.548,1.438,9.552,0.745,1.551,0.08,0.096,7.61,10.61,1.15,0.48,0.35,buy,1.0,0.041,Existing long target remained in place while the growth evidence deteriorated.
2025-08-15T23:30:00,MSFT,96.4727,-0.014984,-8895.03,11127.6,0.864,2.464,10.964,13.364,4.755,0.548,1.441,9.564,0.126,0.455,-0.03,-0.054,7.66,10.66,1.16,0.48,0.35,buy,1.0,0.023,The model still held the name although the alpha ranking was decaying.
2025-08-15T23:35:00,NVDA,96.6271,-0.000983,-11077.3,50.3,0.873,2.473,10.973,13.373,4.758,0.549,1.443,9.573,0.747,1.558,0.08,0.096,101.69,118.69,1.17,0.49,0.36,buy,1.0,0.041,Target remained positive; realised weight diverged from the recorded target.
2025-08-15T23:40:00,JPM,96.2444,-0.002982,-7666.31,-7616.01,0.878,2.478,10.978,13.378,4.759,0.549,1.445,9.578,0.748,1.559,0.08,0.096,7.71,10.71,10.68,5.19,2.46,buy,1.0,0.041,The decision used an older recorded fundamental snapshot.
2025-08-15T23:45:00,XOM,95.661,-0.009982,-6845.21,-14461.22,0.88,2.48,10.98,13.38,4.76,0.549,4.545,2.78,0.748,1.56,0.08,0.096,7.72,10.72,1.18,0.49,0.36,buy,1.0,0.041,The existing long target remained despite worsening debt-service risk.
2025-08-15T23:50:00,AAPL,95.9163,-0.010982,-7097.8,-21559.02,-6.622,-6.522,2.178,-5.122,4.759,0.549,1.445,9.578,0.748,1.559,0.08,0.096,7.71,10.71,1.18,0.49,0.36,buy,1.0,0.041,Existing long target remained in place while the growth evidence deteriorated.
2025-08-15T23:55:00,MSFT,96.0549,-0.014983,-8608.28,-30167.3,0.872,2.472,10.972,13.372,4.757,0.549,1.443,9.572,0.127,0.457,-0.03,-0.054,7.69,10.69,1.17,0.49,0.36,buy,1.0,0.023,The model still held the name although the alpha ranking was decaying.
